,obsid,designation,obsdate,lmjd,planid,spid,fiberid,ra,dec,snru,snrg,snrr,snri,snrz,objtype,class,subclass,magtype,mag1,mag2,mag3,mag4,mag5,mag6,mag7,tsource,fibertype,tfrom,t_info,rv,rv_err,logg,logg_err,teff,teff_err,feh,feh_err,totalCounts,B,V,R,I,BV,BR,BI,VR,VI,RI,Ha,Hb,Hg,filename
2804,816181,J035452.26+300752.0,2011-10-27,55862.0,B6210,16.0,181.0,58.717766,30.131124,1.23,6.67,12.03,18.26,12.9,Star,STAR,F5,ugrizjh,99.0,16.53,15.9,15.57,99.0,99.0,99.0,PILOT,Obj,,,-35.47,25.34,3.587,0.512,5929.08,313.53,-0.217,0.714,679506.875,-5.99102735519,-5.71901500225,-5.43526768684,-5.01982152462,-0.272012352943,-0.55575966835,-0.971205830574,-0.283747315407,-0.699193477631,-0.415446162224,1.85394004519,3.36642701412,1.63916360082,spec-55862-B6210_sp16-181.fits
2805,816182,J035509.44+300714.1,2011-10-27,55862.0,B6210,16.0,182.0,58.78935,30.120587,1.36,23.58,59.85,98.55,83.29,Star,STAR,K5,ugrizjh,99.0,14.79,13.64,0.0,99.0,99.0,99.0,PILOT,Obj,,,-21.06,5.96,4.673,0.202,4497.92,58.68,-0.045,0.184,4320974.0,-7.40667402744,-7.77479469776,-7.90591716766,-7.72696018219,0.368120670319,0.499243140221,0.320286154747,0.131122469902,-0.0478345155716,-0.178956985474,0.318952728883,0.895556469347,-0.336316148479,spec-55862-B6210_sp16-182.fits
2806,816185,J035505.92+295919.8,2011-10-27,55862.0,B6210,16.0,185.0,58.774691,29.988861,2.95,22.59,36.76,53.9,38.81,Star,STAR,F5,ugrizjh,99.0,14.8,14.28,13.9,99.0,99.0,99.0,PILOT,Obj,,,-31.63,16.17,4.292,0.437,6397.89,202.39,-0.151,0.41,2643220.5,-7.49901950359,-7.22221791744,-6.90374553204,-6.46738469601,-0.276801586151,-0.595273971558,-1.03163480759,-0.318472385406,-0.754833221436,-0.436360836029,2.45742670674,2.48116417193,5.0526573527,spec-55862-B6210_sp16-185.fits
2807,816193,J035513.92+295326.8,2011-10-27,55862.0,B6210,16.0,193.0,58.808007,29.890803,1.67,9.51,11.89,14.63,8.73,Star,STAR,A3V,ugrizjh,99.0,15.54,15.29,15.14,99.0,99.0,99.0,PILOT,Obj,,,-21.11,14.98,4.341,0.402,8479.38,415.15,-0.628,1.501,854665.25,-6.51271939278,-5.90019881725,-5.34442722797,-4.64119583368,-0.612520575523,-1.1682921648,-1.87152355909,-0.555771589279,-1.25900298357,-0.703231394291,0.782635851221,3.84983153128,10.4029156674,spec-55862-B6210_sp16-193.fits
2808,816194,J035416.12+295701.7,2011-10-27,55862.0,B6210,16.0,194.0,58.567186,29.950493,1.26,9.21,17.55,27.16,19.72,Star,STAR,F5,ugrizjh,99.0,15.98,15.36,14.96,99.0,99.0,99.0,PILOT,Obj,,,2.73,25.73,3.943,0.528,6044.34,284.46,-0.487,0.692,1064404.25,-6.44810974598,-6.22295022011,-5.97616791725,-5.57878255844,-0.225159525871,-0.471941828728,-0.869327187538,-0.246782302856,-0.644167661667,-0.39738535881,2.14937975451,1.82262014674,9.08394467496,spec-55862-B6210_sp16-194.fits
2809,816195,J035443.06+301103.2,2011-10-27,55862.0,B6210,16.0,195.0,58.679436,30.184246,1.67,14.07,23.63,33.08,23.1,Star,STAR,F5,ugrizjh,99.0,15.57,15.02,14.74,99.0,99.0,99.0,PILOT,Obj,,,24.93,18.15,4.254,0.422,6499.45,240.83,-0.049,0.446,1628804.75,-7.01800107956,-6.67467772961,-6.32468163967,-5.81928312778,-0.343323349953,-0.693319439888,-1.19871795177,-0.349996089935,-0.855394601822,-0.505398511887,2.07578352103,2.03437371381,6.74032963675,spec-55862-B6210_sp16-195.fits
2810,816196,J035435.71+295344.8,2011-10-27,55862.0,B6210,16.0,196.0,58.648826,29.895785,2.28,17.35,29.73,42.84,30.95,Star,STAR,F5,ugrizjh,99.0,15.54,14.86,14.55,99.0,99.0,99.0,PILOT,Obj,,,16.24,15.02,3.999,0.684,5765.06,238.99,-0.512,0.542,1965900.375,-7.17648684978,-6.89541459084,-6.59446954727,-6.14956736565,-0.281072258949,-0.582017302513,-1.02691948414,-0.300945043564,-0.745847225189,-0.444902181625,1.71762447186,1.84435899307,4.17162563466,spec-55862-B6210_sp16-196.fits
2811,816199,J035525.40+300333.1,2011-10-27,55862.0,B6210,16.0,199.0,58.855865,30.059201,1.22,9.79,18.96,30.85,22.67,Star,STAR,F9,ugrizjh,99.0,15.73,14.93,14.48,99.0,99.0,99.0,PILOT,Obj,,,-4.5,16.39,4.707,0.446,5675.05,229.04,-0.28,0.539,1047040.125,-6.30924463272,-6.27466797829,-6.09276115894,-5.72610795498,-0.0345766544342,-0.216483473778,-0.583136677742,-0.181906819344,-0.548560023308,-0.366653203964,1.35843339586,0.659292882398,7.8000020582,spec-55862-B6210_sp16-199.fits
2812,816203,J035333.16+300208.8,2011-10-27,55862.0,B6210,16.0,203.0,58.388169,30.035783,1.48,14.89,37.55,68.32,60.18,Star,STAR,G5,ugrizjh,99.0,15.6,14.32,13.62,99.0,99.0,99.0,PILOT,Obj,,,46.1,10.47,2.626,0.717,5014.85,170.17,-0.425,0.522,2404221.0,-6.7832916975,-7.11983919144,-7.1971642971,-7.12210655212,0.336547493935,0.413872599602,0.338814854622,0.0773251056671,0.00226736068726,-0.0750577449799,1.33959424613,1.0183339886,7.04351687665,spec-55862-B6210_sp16-203.fits
2813,816209,J035337.74+295513.7,2011-10-27,55862.0,B6210,16.0,209.0,58.407252,29.920487,1.07,16.98,49.54,93.15,87.02,Star,STAR,G5,ugrizjh,99.0,14.88,13.49,0.0,99.0,99.0,99.0,PILOT,Obj,,,111.25,9.33,1.956,0.57,4546.64,107.89,-0.544,0.345,3682225.0,-6.94445848465,-7.53853321075,-7.74742662907,-7.75319099426,0.594074726105,0.802968144417,0.808732509613,0.208893418312,0.214657783508,0.00576436519623,1.45467020942,1.23230997352,3.37616384795,spec-55862-B6210_sp16-209.fits
