,cAll,cB,cV,cR,cI,lHa,lHb,lHg,FILENAME,DESIG,teff
2959,487679.75,-5.008558035,-5.402134061,-5.523920059,-5.356895328,0.263312307,-0.451676125,-17.50541346,spec-55862-B6210_sp06-111.fits,J041117.44+272705.6,4333.67
2960,321483.1875,-4.676988721,-4.922378361,-4.990005791,-4.83268857,1.478509322,0.105491488,-9.699010817,spec-55862-B6210_sp06-108.fits,J041048.40+272104.7,4528
2961,264362.2813,-4.816429913,-4.267645776,-4.611538351,-4.368912876,1.461894465,0.366295381,13.38863564,spec-55862-B6210_sp06-221.fits,J041011.19+272452.3,5122.86
2962,331141.375,-5.151359439,-5.007972717,-4.716121554,-4.38491106,2.329079673,2.652927163,5.536749956,spec-55862-B6210_sp06-168.fits,J041202.23+275828.8,6299.6
2963,242673.3906,-4.9063164,-4.303695261,-4.375603497,-4.002276063,2.655697375,2.061496084,18.83422869,spec-55862-B6210_sp06-224.fits,J040937.38+273451.6,6178.68
2964,307124.0938,-5.252460241,-4.527116716,-4.548300505,-4.130105078,2.103508197,1.969346025,1.174620971,spec-55862-B6210_sp06-222.fits,J040932.31+272528.5,6617.07
2965,507467.75,-5.580756664,-4.990436733,-5.390741825,-5.024196506,1.500541015,1.450979481,7.460625662,spec-55862-B6210_sp06-005.fits,J040912.17+273330.7,5268.59
2966,238856.7969,-4.914865494,-3.998037875,-4.313226938,-3.650535643,2.161275997,3.370502119,12.28003767,spec-55862-B6210_sp06-247.fits,J040748.19+274826.0,8016.03
2967,683140.75,-6.095923185,-5.749684572,-5.397993326,-4.811611176,2.32596554,2.288011927,6.23232104,spec-55862-B6210_sp06-234.fits,J040844.21+274910.1,6415.88
2968,337407.125,-4.561124444,-4.980205894,-5.108275414,-4.999184012,-0.006304872,1.960207971,5.093495362,spec-55862-B6210_sp07-049.fits,J040400.44+263812.8,4634.38
2969,318187.5625,-4.92305696,-5.001546144,-4.89081651,-4.594406784,0.189446498,1.378268114,-5.273066764,spec-55862-B6210_sp07-054.fits,J040732.98+270146.6,5026.38
2970,959310.3125,-6.535825729,-6.066524386,-5.61845541,-5.040937662,2.65286242,2.718993344,6.143569379,spec-55862-B6210_sp07-055.fits,J040741.80+265711.2,6696.15
2971,395599.75,-4.845609665,-5.208693743,-5.221669674,-5.09482801,1.548180317,-0.186812896,9.190896493,spec-55862-B6210_sp07-150.fits,J041049.39+270732.1,4633.03
2972,319313.8125,-5.260050297,-4.899667203,-4.518158734,-4.031852484,3.666004149,3.11049054,-6.980673817,spec-55862-B6210_sp07-159.fits,J040507.23+262006.3,6482.21
2973,294009.0625,-4.999965131,-4.894473851,-4.633258283,-4.245223105,3.176081296,2.939027586,5.279963991,spec-55862-B6210_sp07-167.fits,J040523.21+262433.2,5782.45
2974,415146.1563,-5.064468384,-5.271104574,-5.24566412,-4.993431866,0.94913695,1.333240533,9.418162819,spec-55862-B6210_sp07-220.fits,J040726.14+263356.8,4964.92
2975,336939.125,-4.990488291,-5.073896647,-4.944038987,-4.584777057,1.772390042,0.935386695,4.463071511,spec-55862-B6210_sp07-215.fits,J040649.53+264111.5,5065.6
2976,332938.0938,-5.196993947,-5.017459989,-4.717461467,-4.235365987,1.965056526,2.357633078,7.982001227,spec-55862-B6210_sp07-224.fits,J040739.93+262854.0,6009.09
2977,545536.75,-5.398444533,-5.578129292,-5.506519675,-5.241137743,1.983126399,1.384578812,11.03395511,spec-55862-B6210_sp07-204.fits,J040756.11+263207.8,5078.96
2978,362615.7813,-4.975628853,-5.143096447,-5.086295605,-4.760858119,2.060742283,0.083212957,-1.390976148,spec-55862-B6210_sp07-223.fits,J040808.87+263356.5,5087.79
2979,342559.5313,-5.090568066,-5.06922543,-4.871896505,-4.500270188,2.846990075,0.755481908,5.744287318,spec-55862-B6210_sp07-230.fits,J040632.83+262257.5,5889.44
2980,287467.1875,-4.768936038,-4.88273114,-4.803168178,-4.475999475,1.091873586,0.781090882,2.258337447,spec-55862-B6210_sp08-049.fits,J040431.70+282504.3,5492.46
2981,273477.6563,-4.702740312,-4.845286012,-4.75964874,-4.430778921,0.524837779,0.744670548,-6.892863531,spec-55862-B6210_sp08-052.fits,J040604.03+275842.3,4963.14
2982,354208.9688,-5.378264785,-5.004816055,-4.637396038,-4.090029597,2.106476991,1.812671877,0.937967392,spec-55862-B6210_sp08-057.fits,J040651.14+280326.5,6507.67
2983,303695.9063,-4.754476547,-4.805927873,-4.815373719,-4.626858234,0.26002635,0.496251306,-0.604473057,spec-55862-B6210_sp08-076.fits,J040738.35+282559.3,5141.44
2984,535404.5625,-5.835545063,-5.485890508,-5.10246098,-4.552898705,1.871874395,2.402700524,4.333091122,spec-55862-B6210_sp08-195.fits,J040416.48+271916.1,6705.3
2985,571727.75,-5.711417198,-5.629011393,-5.399361253,-4.980534017,2.598604433,1.702588997,3.460908913,spec-55862-B6210_sp08-117.fits,J040521.44+273526.1,5725.72
2986,422316.3125,-5.169180632,-5.034570694,-5.318128467,-5.048356056,1.263515044,2.448920792,1.898508648,spec-55862-B6210_sp08-124.fits,J040600.52+273415.3,5156.59
2987,500677.0938,-5.500875115,-5.523200035,-5.319470167,-4.903354943,1.479677141,1.927582353,1.665701544,spec-55862-B6210_sp08-137.fits,J040632.53+275531.8,5391.76
2988,210309.9688,-4.443433583,-4.593506455,-4.420055747,-4.064876437,1.568188298,1.24340255,-6.921876276,spec-55862-B6210_sp08-133.fits,J040646.58+275045.4,5301.34
2989,301119.1875,-4.674390256,-4.908085167,-4.930437505,-4.681217372,0.830448301,1.681908398,-0.206102746,spec-55862-B6210_sp08-138.fits,J040639.86+274023.3,4549.23
2990,375024.25,-4.78315115,-5.127682686,-5.229869485,-5.025539398,0.806368565,-0.110364648,8.141111559,spec-55862-B6210_sp08-147.fits,J040544.48+274702.8,4408.92
2991,478016.25,-5.878272653,-5.297527313,-4.730802178,-4.06177938,3.104016706,2.938558888,11.22180751,spec-55862-B6210_sp08-169.fits,J040406.88+274543.7,7509.23
2992,396803.5,-5.050023794,-5.248017907,-5.202801824,-4.904045463,1.703850819,0.142610124,3.090897912,spec-55862-B6210_sp08-182.fits,J040320.28+272337.2,4960.84
2993,163395.625,-4.272706211,-4.309157729,-4.101627469,-3.718177676,0.749172689,0.935112301,11.33765284,spec-55862-B6210_sp08-179.fits,J040339.05+271500.8,4962.4
2994,375843.2188,-5.049671531,-5.178227425,-5.059089065,-4.744967222,0.875707239,-0.666097931,3.255757457,spec-55862-B6210_sp08-201.fits,J040454.54+270219.3,5186.24
2995,388200.2188,-4.579182565,-5.058425069,-5.304566622,-5.275558233,0.367803401,0.732611058,4.93784149,spec-55862-B6210_sp08-067.fits,J040549.52+280506.4,4136.4
2996,399134.375,-5.625564456,-5.098930001,-4.598930776,-3.92419219,2.754249428,2.164067729,11.61224999,spec-55862-B6210_sp08-226.fits,J040344.07+280508.9,8639
2997,290450.125,-4.879414141,-4.886725545,-4.705927372,-4.38523531,1.681359353,3.625417298,6.689433054,spec-55862-B6210_sp09-083.fits,J040409.28+295110.0,5434.33
2998,414878.3125,-5.087622404,-5.22508204,-5.195022225,-5.027732849,1.181389813,2.25500055,3.147003359,spec-55862-B6210_sp09-099.fits,J040457.52+295607.8,5046
2999,408902.8125,-5.192347169,-5.24064362,-5.116046071,-4.861126244,1.848865119,2.574220986,12.78065892,spec-55862-B6210_sp09-101.fits,J040412.19+292732.1,5750.26
3000,310519.125,-4.972974658,-4.944441915,-4.766282439,-4.3757689,2.185493779,4.212359628,9.396888284,spec-55862-B6210_sp09-128.fits,J040754.39+285314.2,6279.44
3001,372485.125,-4.784763753,-5.044706464,-5.193042755,-5.038143396,0.948189259,0.90889261,-2.127759534,spec-55862-B6210_sp09-145.fits,J040704.54+285632.3,4616.27
3002,627499.75,-5.558294058,-4.451735318,-5.858553052,-5.753691196,1.992836213,2.626370628,5.412473991,spec-55862-B6210_sp09-229.fits,J040635.42+284402.0,6606.72
3003,426620.125,-5.324449539,-5.308728218,-5.109040141,-4.786408842,1.649513576,1.978836509,7.580700447,spec-55862-B6210_sp09-113.fits,J040315.14+292317.5,6358.84
3004,330564.875,-4.73336339,-5.036760569,-5.021333098,-4.789557457,1.051716236,2.573664001,-0.478152482,spec-55862-B6210_sp09-027.fits,J040436.68+291702.4,4984.74
3005,384517.9063,-5.197020173,-5.155525804,-4.979207516,-4.679045677,1.440667452,2.323954731,-5.68532813,spec-55862-B6210_sp09-167.fits,J040350.65+291538.9,5845.93
3006,418762.875,-5.155625939,-5.256342292,-5.160615444,-4.954567552,2.504334909,2.952104279,1.301907325,spec-55862-B6210_sp09-185.fits,J040654.19+290747.5,6494.91
3007,530186.6875,-4.985300601,-5.449696183,-5.57351172,-5.568048358,0.480905621,3.08848946,1.634980184,spec-55862-B6210_sp09-192.fits,J040629.67+292357.6,4825.01
3008,565941.5,-5.660521388,-5.577412248,-5.399801135,-5.072364211,2.620059147,1.140804025,0.777348357,spec-55862-B6210_sp09-195.fits,J040608.49+290119.6,5678.85
3009,506675.0313,-4.853270352,-5.350528955,-5.56317687,-5.589261651,1.248808355,3.167576208,7.232638904,spec-55862-B6210_sp09-210.fits,J040430.48+285157.7,5553.58
3010,559558.625,-5.328918099,-5.534306765,-5.551000834,-5.402501225,2.336619653,1.405832054,0.561485168,spec-55862-B6210_sp09-213.fits,J040336.23+285709.0,5941.25
3011,1690701.5,-6.35158062,-6.769456863,-6.845781803,-6.738171577,1.107210453,1.069829664,5.222168132,spec-55862-B6210_sp09-214.fits,J040503.91+285234.8,4843.56
3012,302462.375,-4.720543623,-4.947508276,-4.909186065,-4.58516866,-0.064554727,1.14837043,4.783010949,spec-55862-B6210_sp10-008.fits,J035211.55+282106.6,4998.89
3013,488639.0313,-5.549438596,-5.377988219,-5.203235149,-4.811619222,2.441985447,1.998045272,4.855288972,spec-55862-B6210_sp10-243.fits,J035316.81+282540.7,5868.81
3014,336565.5625,-4.517246783,-4.921512008,-5.130192041,-5.072879791,0.585918287,-0.388966853,-18.61518703,spec-55862-B6210_sp10-061.fits,J035247.80+275911.8,4422.36
3015,340391.7813,-5.413656831,-4.533892572,-4.689842761,-4.210002124,2.789742278,2.574645423,8.59900049,spec-55862-B6210_sp10-082.fits,J035107.43+274239.0,6689.26
3016,149123.1719,-4.33608979,-3.552566767,-4.023543298,-3.646812439,2.672193594,0.559087725,-1.181676953,spec-55862-B6210_sp10-088.fits,J035059.72+273959.0,5352.13
3017,539516.0625,-5.268232226,-5.0381881,-5.627889037,-5.557723641,0.644216045,-0.976982585,0.477291643,spec-55862-B6210_sp10-136.fits,J035028.96+281734.9,4498.26
3018,339416.1875,-4.833089411,-5.091170073,-5.046300888,-4.741389453,1.300434192,2.535196973,3.931984459,spec-55862-B6210_sp14-028.fits,J035134.76+282918.9,5039.49
3019,542681.6875,-5.267421007,-5.510539413,-5.602200627,-5.413289666,1.014516523,0.121684446,3.534072876,spec-55862-B6210_sp10-186.fits,J035222.48+272519.1,4388.99
3020,417780.75,-5.339019895,-5.239902139,-5.057849288,-4.692462981,2.706929684,1.423608371,-0.677939949,spec-55862-B6210_sp10-203.fits,J035458.98+274700.6,5878.15
3021,2908758.5,-7.056099176,-7.358778715,-7.421250343,-7.236971855,0.847564493,0.963215244,3.705366125,spec-55862-B6210_sp10-233.fits,J035432.80+282153.8,4652.73
3022,415226.625,-5.008939505,-5.210017562,-5.297276974,-5.062497258,1.324922023,1.470841475,6.587384865,spec-55862-B6210_sp10-247.fits,J035409.00+281254.4,4743.53
3023,843071,-6.176716685,-6.061662436,-5.730803609,-5.299908519,3.665395829,2.938706314,6.143803163,spec-55862-B6210_sp11-043.fits,J040424.09+304349.7,6846.27
3024,812531.375,-5.813527107,-6.036393046,-5.962358117,-5.69940567,1.485106755,0.122386646,5.689247375,spec-55862-B6210_sp11-072.fits,J040334.32+301448.5,5184.62
3025,635113.1875,-5.45948863,-5.731748343,-5.705729723,-5.539115071,1.117807794,-0.310661453,-7.989766495,spec-55862-B6210_sp11-098.fits,J040105.05+300321.6,4818.5
3026,820260.75,-6.157439947,-5.986348391,-5.753396153,-5.305423141,1.009967664,3.390476028,2.55770001,spec-55862-B6210_sp11-132.fits,J035932.51+305037.0,5737.55
3027,804630.5625,-6.184289455,-5.948010683,-5.648166537,-5.157519579,0.867998167,-1.56924284,13.0061144,spec-55862-B6210_sp11-167.fits,J035848.70+305053.7,5228.6
3028,798461.25,-5.804507136,-5.997909307,-5.942399502,-5.701928139,1.673698527,1.331797981,14.40078363,spec-55862-B6210_sp11-190.fits,J040147.28+302911.2,5359.13
3029,732475.125,-5.972223282,-5.889868736,-5.693659186,-5.237842798,2.568675732,0.360766906,1.039293037,spec-55862-B6210_sp11-231.fits,J040125.14+301346.5,6001.43
3030,425961.625,-5.367734432,-5.290432572,-5.103654861,-4.743057191,1.554140864,4.586927959,-9.979446623,spec-55862-B6210_sp12-084.fits,J040516.08+295807.4,5952.99
3031,418992.875,-5.701658726,-4.144426584,-4.957580268,-4.500981271,3.919196926,2.780230865,14.69012472,spec-55862-B6210_sp12-157.fits,J040819.74+294216.6,6008.92
3032,495109.5313,-5.631536245,-5.340376496,-5.192121267,-4.681764841,2.071447701,3.642090911,6.358602526,spec-55862-B6210_sp12-154.fits,J040814.15+294624.6,6196.3
3033,660535.5625,-5.866516232,-5.718114376,-5.522695184,-5.056020617,0.57482895,3.335933546,3.80376207,spec-55862-B6210_sp12-220.fits,J040931.47+294407.1,5948.8
3034,734466.3125,-6.168124676,-5.833165646,-5.449627638,-4.842683971,2.319246646,1.955034797,3.012543734,spec-55862-B6210_sp12-211.fits,J041031.98+294040.9,6245.93
3035,1025011.938,-6.370584965,-6.243777275,-5.982303023,-5.580738783,1.778796737,0.969992234,6.411475535,spec-55862-B6210_sp12-041.fits,J040637.38+303537.9,5738.57
3036,935326.5,-6.363840103,-6.11610651,-5.896549821,-5.491070151,1.574733311,1.382660328,5.177417858,spec-55862-B6210_sp12-074.fits,J040535.90+303126.5,5581.32
3037,507902.2813,-5.558032393,-5.476731062,-5.260370374,-4.819768667,2.283779771,0.784992756,4.715319861,spec-55862-B6210_sp13-045.fits,J041126.24+285635.3,5711.5
3038,621323.9375,-5.803521872,-5.685046315,-5.481248498,-4.993747473,1.773130248,1.692664186,8.386606564,spec-55862-B6210_sp13-042.fits,J041153.09+285036.8,5748.97
3039,763958.6875,-6.078822613,-5.897392035,-5.630451441,-5.166475177,3.35300901,1.596159734,-12.23181925,spec-55862-B6210_sp13-029.fits,J041137.40+285050.7,6596.73
3040,1359603.75,-6.226471066,-6.449013352,-6.504542828,-6.402543187,1.830765077,1.855761526,3.21351437,spec-55862-B6210_sp13-068.fits,J041041.10+283032.5,5669.41
3041,509188.375,-5.672442913,-5.440825224,-5.144962072,-4.621247053,3.226510057,2.037972938,3.518299914,spec-55862-B6210_sp13-117.fits,J040939.07+293145.0,6234.08
3042,630563.875,-5.377633572,-5.705195069,-5.741539001,-5.542262197,1.667380805,1.335603637,3.376649973,spec-55862-B6210_sp13-216.fits,J041024.03+290038.7,5475.42
3043,1749377.375,-6.626977921,-6.458471417,-6.853454709,-6.723078489,0.702647326,0.343522675,2.555766373,spec-55862-B6210_sp13-246.fits,J040846.73+290314.0,4600.62
3044,284194.7813,-4.931773543,-4.509836733,-4.692800045,-4.432188272,1.706179884,2.012638813,6.551610558,spec-55862-B6210_sp14-058.fits,J035333.24+284954.9,5489
